,RAW,AJDC
0,-0.1940599928852663,-0.037227164486479884
1,0.09593476735097178,0.041897629545982175
2,-0.4253164749728307,-0.04726256609565187
3,-0.7956004086757265,0.08469966143032703
4,-0.31480373732346884,-0.2103021270423734
5,0.14728369521208107,0.1091382554901718
6,0.0025709940968108593,-0.00980776820574027
7,0.5843916059594337,0.5527948960646047
8,-0.2480875960479414,-0.4106054846409148
9,-0.08038743290049666,0.09371749046946991
10,-0.010922935622514243,-0.08713743653485544
11,-0.21078995415473054,-0.2339061153660548
12,-0.022425387169136703,-0.014598207408268046
13,-0.23990380648566503,-0.2490851737877303
14,-0.10061738470866784,-0.07864860108487504
15,-0.2799823379295508,-0.3332342067145065
16,-0.41205122127969934,-0.015533028548928332
17,0.06435379440775625,0.05037565973186694
18,0.186399981982009,0.22027401848170494
19,-0.15491151629975794,-0.17088525391074216
20,-0.26516487469224426,-0.13304365404625343
